City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
15,Warwick,US,77.29,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
18,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
21,Labuhan,ID,78.21,broken clouds,-6.8844,112.2051,DoubleFAG
23,Bandarbeyla,SO,77.99,broken clouds,9.4942,50.8122,JABIR HOTEL
26,Gondanglegi,ID,77.65,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
32,Bengkulu,ID,79.56,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Lavra,PT,76.12,clear sky,41.2594,-8.7185,Park Hotel Porto Aeroporto
38,Rikitea,PF,74.75,few clouds,-23.1203,-134.9692,People ThankYou
43,Sao Miguel Do Tapuio,BR,74.16,clear sky,-5.5036,-41.3233,Hotel Tropical
49,Atuona,PF,77.67,scattered clouds,-9.8,-139.0333,Villa Enata
51,Mantua,IT,76.24,clear sky,45.1667,10.7833,Hotel la Favorita
54,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
56,Malim,PH,81.72,light rain,7.452,123.4312,Malim
57,Shingu,JP,80.35,broken clouds,33.7333,135.9833,Shingu UI Hotel
62,Karaton,ID,78.3,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
63,Yellowknife,CA,75.56,scattered clouds,62.456,-114.3525,The Explorer Hotel
64,Sinnamary,GF,77.23,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
74,Hamilton,US,78.44,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
78,Touros,BR,74.34,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
82,Yaring,TH,81.03,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
88,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
98,Kalmunai,LK,81.07,overcast clouds,7.4167,81.8167,VS Villa
101,Kavaratti,IN,81.43,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
107,Half Moon Bay,US,77.59,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
120,Eston,CA,73.92,few clouds,51.1501,-108.7514,Hearthside Place B&B
123,Shimoda,JP,76.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
126,Bethel,US,80.47,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
132,Lompoc,US,81.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
138,Katsuura,JP,77.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
145,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
146,Brikama,GM,80.64,scattered clouds,13.2714,-16.6494,Nilakoto
148,Sindgi,IN,74.19,overcast clouds,16.9167,76.2333,Sasabal
153,Zhangye,CN,75.36,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
156,Pacific Grove,US,76.01,few clouds,36.6177,-121.9166,Lovers Point Inn
161,Burnsville,US,80.38,scattered clouds,44.7677,-93.2777,LivINN Hotel Minneapolis South/Burnsville
166,Haines Junction,CA,79.12,few clouds,60.7522,-137.5108,Parkside Inn
175,Tivaouane,SN,80.94,scattered clouds,14.9515,-16.8129,SOUNOU KEUR
176,Caucaia,BR,78.04,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
186,Saint Anthony,US,80.53,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
188,Santa Isabel Do Rio Negro,BR,74.53,few clouds,-0.4139,-65.0192,Hotel GSA
192,Sur,OM,80.67,heavy intensity rain,22.5667,59.5289,Sur Plaza Hotel
193,Bemidji,US,77.09,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
197,Marawi,PH,78.93,scattered clouds,7.9986,124.2928,Derogongan Residence
204,Hami,CN,79.47,clear sky,42.8,93.45,Laoyutang Resort
205,Faanui,PF,79.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
207,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
215,Pak Phanang,TH,80.62,overcast clouds,8.3511,100.202,Green Park Inn Hotel
219,Sao Filipe,CV,74.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
220,Humberto De Campos,BR,75.72,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
223,Pedernales,DO,80.74,broken clouds,18.0384,-71.744,Hotel Costa Marina
224,Sioux Lookout,CA,73.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
228,Kawalu,ID,73.72,overcast clouds,-7.3817,108.2082,West Jontor
232,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
235,Ottumwa,US,78.12,overcast clouds,41.02,-92.4113,Hampton Inn Ottumwa
237,Cockburn Town,TC,81.97,clear sky,21.4612,-71.1419,Osprey Beach Hotel
238,Whithorn,JM,81.66,few clouds,18.2604,-78.0378,Sunset Heal
246,Terra Santa,BR,75.02,clear sky,-2.1042,-56.4869,Hotel Sarah
255,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
257,Zhoucheng,CN,81.64,clear sky,35.9122,116.3117,Yingbin Restaurant
258,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
262,Loa Janan,ID,79.34,overcast clouds,-0.583,117.095,Kost bu jono
264,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
270,Palmerston,AU,73.38,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
271,Harrisburg,US,81.14,broken clouds,40.2737,-76.8844,Hilton Harrisburg
278,Vao,NC,75.7,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
279,Pemba,MZ,73.83,scattered clouds,-12.974,40.5178,Guesthouse Samotina
280,Kenora,CA,75.78,light intensity shower rain,49.8167,-94.4337,Maynard Lake Lodge
286,Mogadishu,SO,75.49,moderate rain,2.0371,45.3438,Hotel Juba
287,Santa Maria,BR,74.5,clear sky,-29.6842,-53.8069,Hotel Morotin
292,Yuzhne,UA,73.49,clear sky,46.6221,31.1013,Чорноморська Симфонія
294,Tura,IN,78.87,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
305,Tezu,IN,81.95,broken clouds,27.9167,96.1667,Circuit House
306,Altamont,US,79.79,overcast clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
308,San Jose,US,78.67,few clouds,37.3394,-121.895,The Westin San Jose
315,Tukrah,LY,78.17,clear sky,32.5341,20.5791,Lagrota restaurant
316,Puerto Colombia,CO,80.69,few clouds,10.9878,-74.9547,Hotel El Emigrante
318,Naruto,JP,80.26,overcast clouds,34.1833,134.6167,Resort hotel Moana Coast
321,Wuwei,CN,80.04,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
325,Jaru,BR,74.32,clear sky,-10.4389,-62.4664,Hotel Paraná
328,Kontagora,NG,74.55,overcast clouds,10.3999,5.4695,Queens Guest Inn
330,Axim,GH,75.31,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
331,Pathein,MM,81.54,overcast clouds,16.7833,94.7333,Pathein Hotel
335,Cabedelo,BR,75.87,light rain,-6.9811,-34.8339,Pousada Camboinha
336,Luino,IT,73.49,scattered clouds,46.0019,8.7451,Camin Hotel Luino
337,Jaque,PA,78.8,overcast clouds,7.5175,-78.1703,Aventuras Jaque S.A
340,Kismayo,SO,76.01,overcast clouds,-0.3582,42.5454,Agan-Hotel
345,Myitkyina,MM,79.5,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
352,Naze,JP,80.55,moderate rain,28.3667,129.4833,Shishime Hotel
356,Biak,ID,77.52,overcast clouds,-0.9131,122.8766,Penginapan Kim
357,Dinghai,CN,81.52,clear sky,26.2847,119.7936,Shanhai Hotel
361,Luwuk,ID,79.3,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
363,Mineros,BO,78.15,clear sky,-17.1167,-63.2333,Colpacaranda Eco Resort
365,Fare,PF,79.12,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
368,Jalu,LY,81.41,clear sky,29.0331,21.5482,صاحبة الفخامة
372,Palmer,US,75.61,few clouds,42.1584,-72.3287,Wedgewood Motel
373,San Cristobal,VE,73.58,scattered clouds,7.7669,-72.225,Pirineos
375,Pangkalanbuun,ID,81.27,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
377,Tautira,PF,77.43,moderate rain,-17.7333,-149.15,Pension Oaoa
381,Fort Nelson,CA,78.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
383,Misratah,LY,80.56,clear sky,32.3754,15.0925,Almasa Hotel
385,Casper,US,81.19,clear sky,42.8666,-106.3131,Ramkota Hotel
386,Trincomalee,LK,80.94,overcast clouds,8.5711,81.2335,Welcombe Hotel
389,Shenjiamen,CN,80.76,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
390,Kurud,IN,77.68,overcast clouds,20.8322,81.7214,HOTEL DEWANGAN
393,Amurzet,RU,73.4,light rain,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
395,Kudahuvadhoo,MV,81.75,light rain,2.6708,72.8944,Niyama Private Islands Maldives
398,Codajas,BR,75.36,few clouds,-3.8367,-62.0569,Atlântic Hotel
407,Waupun,US,74.86,scattered clouds,43.6333,-88.7296,Gateway Inn and Suites
418,Korla,CN,81.18,clear sky,41.7597,86.1469,Gulisitan Hotel
422,Aquiraz,BR,78.19,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
425,Itarema,BR,78.1,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
428,Bathsheba,BB,81.05,clear sky,13.2167,-59.5167,Atlantis Hotel
429,Manthani,IN,78.87,overcast clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
431,Ajdabiya,LY,78.15,clear sky,30.7554,20.2263,Almadina Hotel
432,Japura,ID,79.34,scattered clouds,-0.3167,102.35,Rumah mbah Jamah
434,Metro,ID,78.44,clear sky,-5.1131,105.3067,OYO 3177 Wisma Lintang
435,Chumikan,RU,73.06,scattered clouds,54.7183,135.315,Fortuna
448,Najibabad,IN,81.9,overcast clouds,29.6333,78.3333,OYO 48552 Hotel Chandrayan
456,Alvaraes,BR,77.43,overcast clouds,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
462,Manicore,BR,76.95,clear sky,-5.8092,-61.3003,Hotel Durval
463,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
467,Pauini,BR,74.75,clear sky,-7.7136,-66.9764,Casa do Kiwliks
473,Mitsamiouli,KM,74.84,clear sky,-11.3847,43.2844,Foyer ADM
477,Carutapera,BR,73.76,few clouds,-1.195,-46.02,Lidera
481,Coahuayana,MX,81.79,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
484,Portland,US,76.01,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
488,Yazd,IR,78.91,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
491,Isangel,VU,80.56,overcast clouds,-19.55,169.2667,Tanna Lodge
501,Pong,TH,75.67,overcast clouds,19.1493,100.2752,999 Hotel
504,Dhidhdhoo,MV,81.7,overcast clouds,6.8833,73.1,Dhidhoo beach
511,Portel,BR,76.73,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
520,Champerico,GT,75.74,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
524,Garden City,US,76.39,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
525,Pizarro,CO,77.49,light rain,4.9533,-77.366,Hotel Limonar
529,Muisne,EC,73.78,overcast clouds,0.6,-80.0333,Quinta Samay
532,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
534,Dongsheng,CN,78.84,clear sky,39.8161,109.9776,Crowne Plaza Ordos
538,Syracuse,IT,80.31,clear sky,37.0881,15.2792,Hotel Posta
540,Burla,IN,79.27,overcast clouds,21.5,83.8667,VSSUT Guest House
545,Tateyama,JP,80.1,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
548,Chas,IN,81.61,overcast clouds,23.6333,86.1667,SPOT ON 39531 Hotel Vaibhav
561,Conakry,GN,78.94,light rain,9.538,-13.6773,Riviera Royal Hotel
562,Ferkessedougou,CI,73.56,overcast clouds,9.6,-5.2,Hotel Chateau
564,Porto Nacional,BR,75.2,clear sky,-10.7081,-48.4172,Vila Real Hotel
565,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
572,Hobyo,SO,76.6,broken clouds,5.3505,48.5268,Iftin hotel hobyo
575,San Ramon,US,76.53,clear sky,37.7799,-121.978,San Ramon Marriott
589,Malakal,SS,77.97,overcast clouds,9.5334,31.6605,Nile Palace Hotel
590,Rumoi,JP,76.15,scattered clouds,43.9344,141.6428,Business Hotel R-Inn
592,Aguada De Pasajeros,CU,77.59,few clouds,22.385,-80.8508,CASA MAMÁ
593,Meulaboh,ID,78.98,broken clouds,4.1363,96.1285,Kost Pria
597,Daru,PG,79.97,broken clouds,-9.0763,143.2092,Daru Lodge
600,Tommot,RU,76.71,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
602,Westport,US,79.18,clear sky,41.1415,-73.3579,The Westport Inn
607,Hillsborough,US,76.44,scattered clouds,37.5741,-122.3794,Hyatt Regency San Francisco Airport
610,Cache Creek,CA,80.91,overcast clouds,50.8101,-121.3246,Canadas Best Value Inn & Suites
620,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
622,Agudos,BR,73.65,clear sky,-22.4692,-48.9875,ARCA HOTEL
629,Bambanglipuro,ID,79.09,few clouds,-7.95,110.2833,Puri Brata
635,Acapulco,MX,81.84,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
638,Qingdao,CN,74.8,overcast clouds,36.0986,120.3719,Le Meridien Qingdao
639,Harper,LR,75.69,broken clouds,4.375,-7.7169,Screensaver
642,Condado,CU,78.12,clear sky,21.8767,-79.8403,Casa Guachinango
643,Kati,ML,80.01,scattered clouds,12.7441,-8.0726,Lingot d’or
646,Salalah,OM,78.3,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
649,San Francisco,US,76.1,scattered clouds,37.7749,-122.4194,Edwardian Hotel
652,Tual,ID,78.58,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
653,Sao Gabriel Da Cachoeira,BR,77.9,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
654,Jalingo,NG,74.55,overcast clouds,8.8833,11.3667,Debright Motel
655,Tongliao,CN,78.31,clear sky,43.6125,122.2653,Meirujia Hotel
658,Kathmandu,NP,73.62,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
